,Irradiance,Real_Power_PV,Reactive_Power_Total,Real_Power_Total,Reactive_Power_PV,Apparent_PF,Load_PF,IrradianceProxy
2015-10-20 20:04:00,0.0,-8660.163281675716,182660.47780421303,3321674.698987161,19996.054727195038,0.9988319696646831,0.9985230107466438,-0.11960000000025475
2015-10-20 20:05:00,0.0,-8508.023525176392,180372.08639552555,3301886.726513023,20045.551240353285,0.9988553185066159,0.9985465229671033,-0.11620000000025474
2015-10-20 20:06:00,0.0,-8500.425914331372,179936.8818797018,3308845.3834114047,20029.003801560048,0.9987985110408127,0.9984836232412047,-0.11960000000025475
2015-10-20 20:07:00,0.0,-8437.726084084548,181072.54813711625,3332862.7115454767,20066.239924545735,0.9982412910343885,0.9978668138670997,-0.11960000000025475
2015-10-20 20:08:00,0.0,-8623.048160609504,185646.77208635656,3365544.7226958745,20011.38344656974,0.9977144425986542,0.9972960899271476,-0.11960000000025475
2015-10-20 20:09:00,0.0,-8432.058227723228,204981.62229496773,3354505.5969778383,20116.58957900611,0.997999282074301,0.9976029637768576,-0.11960000000025475
2015-10-20 20:10:00,0.0,-8404.597121584022,212441.69018145642,3368891.1362136123,20093.345816618596,0.9978906477650986,0.9974866062228743,-0.12300000000025475
2015-10-20 20:11:00,0.0,-8731.91127104299,219062.33532654034,3377054.8878292125,19990.131490717868,0.9979413504366129,0.9975450363075095,-0.12300000000025475
2015-10-20 20:12:00,0.0,-8384.40055438604,219782.05166779182,3316226.774669814,20099.22623062531,0.9985700740886683,0.9982279708727344,-0.12300000000025475
2015-10-20 20:13:00,0.0,-8383.46087551755,212694.9583152936,3323243.692406806,20071.32504427839,0.9986019674922241,0.9982647173504657,-0.11960000000025475
2015-10-20 20:14:00,0.0,-8424.792676567711,193722.76947135042,3297274.1813430376,20095.442519257616,0.9987583457555026,0.9984362667961032,-0.11620000000025474
2015-10-20 20:15:00,0.0,-8593.933431860245,184856.382440515,3268290.9269784447,20025.593777844348,0.9987169976034409,0.9983880616195061,-0.11280000000025474
